FIPS code,State,Jurisdiction,Equipment Type,Make,Model,VVPAT,Polling Place,Accessible Use,Early Voting,Absentee Ballots
4821300000,Texas,Henderson County,Ballot Marking Device,Election Systems & Software,ExpressVote,N/A,Yes,Yes,Yes,No
4821300000,Texas,Henderson County,Hand-Fed Optical Scanner,Election Systems & Software,DS200,N/A,Yes,No,Yes,No
4821300000,Texas,Henderson County,Electronic Poll Book,Votec,VoteSafe,N/A,Yes,No,Yes,No
4821300000,Texas,Henderson County,Batch-Fed Optical Scanner,Election Systems & Software,DS450,N/A,No,No,No,Yes
4821500000,Texas,Hidalgo County,Ballot Marking Device,Hart InterCivic,Verity Duo,N/A,Yes,Yes,Yes,No
4821500000,Texas,Hidalgo County,Batch-Fed Optical Scanner,Hart InterCivic,Verity Central,N/A,No,No,No,Yes
4821500000,Texas,Hidalgo County,Electronic Poll Book,Votec,VoteSafe,N/A,Yes,No,Yes,No
4821500000,Texas,Hidalgo County,Hand-Fed Optical Scanner,Hart InterCivic,Verity Scan,N/A,Yes,No,Yes,No
4821700000,Texas,Hill County,Ballot Marking Device,Hart InterCivic,Verity Touch Writer,N/A,Yes,Yes,Yes,No
4821700000,Texas,Hill County,Hand-Fed Optical Scanner,Hart InterCivic,Verity Scan,N/A,Yes,No,Yes,Yes
4821700000,Texas,Hill County,Electronic Poll Book,Votec,VoteSafe,N/A,Yes,No,Yes,No
4821900000,Texas,Hockley County,Batch-Fed Optical Scanner,Election Systems & Software,DS450,N/A,No,No,No,Yes
4821900000,Texas,Hockley County,Ballot Marking Device,Election Systems & Software,ExpressVote,N/A,Yes,Yes,Yes,No
4821900000,Texas,Hockley County,Electronic Poll Book,KNOWiNK,Poll Pad,N/A,Yes,No,Yes,No
4821900000,Texas,Hockley County,Hand-Fed Optical Scanner,Election Systems & Software,DS200,N/A,Yes,No,Yes,No
4822100000,Texas,Hood County,Ballot Marking Device,Hart InterCivic,Verity Duo,N/A,Yes,Yes,Yes,No
4822100000,Texas,Hood County,Hand-Fed Optical Scanner,Hart InterCivic,Verity Scan,N/A,Yes,No,Yes,Yes
4822100000,Texas,Hood County,Electronic Poll Book,KNOWiNK,Poll Pad,N/A,Yes,No,Yes,No
4822300000,Texas,Hopkins County,Ballot Marking Device,Hart InterCivic,Verity Duo,N/A,Yes,Yes,Yes,No
4822300000,Texas,Hopkins County,Hand-Fed Optical Scanner,Hart InterCivic,Verity Scan,N/A,No,No,No,Yes
4822300000,Texas,Hopkins County,Electronic Poll Book,KNOWiNK,Poll Pad,N/A,Yes,No,Yes,No
4822500000,Texas,Houston County,Batch-Fed Optical Scanner,Election Systems & Software,DS450,N/A,Yes,No,Yes,Yes
4822500000,Texas,Houston County,Ballot Marking Device,Election Systems & Software,ExpressVote,N/A,Yes,Yes,Yes,No
4822500000,Texas,Houston County,Electronic Poll Book,KNOWiNK,Poll Pad,N/A,Yes,No,Yes,No
4822700000,Texas,Howard County,Hand-Fed Optical Scanner,Election Systems & Software,DS200,N/A,Yes,No,Yes,Yes
4822700000,Texas,Howard County,Ballot Marking Device,Election Systems & Software,ExpressVote,N/A,Yes,Yes,Yes,No
4822700000,Texas,Howard County,DRE-Touchscreen,Election Systems & Software,ExpressTouch,No,Yes,Yes,Yes,No
4822700000,Texas,Howard County,Electronic Poll Book,Election Systems & Software,ExpressPoll,N/A,Yes,No,Yes,No
4822900000,Texas,Hudspeth County,Ballot Marking Device,Hart InterCivic,Verity Touch Writer,N/A,Yes,Yes,Yes,No
4822900000,Texas,Hudspeth County,Hand-Fed Optical Scanner,Hart InterCivic,Verity Scan,N/A,Yes,No,Yes,Yes
4822900000,Texas,Hudspeth County,Paper Poll Book,Not Applicable,Not Applicable,N/A,Yes,No,Yes,No
4823100000,Texas,Hunt County,Hand-Fed Optical Scanner,Hart InterCivic,Verity Scan,N/A,Yes,No,Yes,Yes
4823100000,Texas,Hunt County,Ballot Marking Device,Hart InterCivic,Verity Duo,N/A,Yes,Yes,Yes,No
4823100000,Texas,Hunt County,Electronic Poll Book,KNOWiNK,Poll Pad,N/A,Yes,No,Yes,No
4823300000,Texas,Hutchinson County,Hand-Fed Optical Scanner,Election Systems & Software,DS200,N/A,Yes,No,Yes,Yes
4823300000,Texas,Hutchinson County,Ballot Marking Device,Election Systems & Software,ExpressVote,N/A,Yes,Yes,Yes,No
4823300000,Texas,Hutchinson County,Electronic Poll Book,Data Unavailable,Data Unavailable,N/A,Yes,No,Yes,No
4823500000,Texas,Irion County,DRE-Touchscreen,Hart InterCivic,Verity Touch,No,Yes,Yes,Yes,No
4823500000,Texas,Irion County,Hand-Fed Optical Scanner,Hart InterCivic,Verity Scan,N/A,No,No,No,Yes
4823500000,Texas,Irion County,Electronic Poll Book,KNOWiNK,Poll Pad,N/A,Yes,No,Yes,No
4823700000,Texas,Jack County,DRE-Touchscreen,Hart InterCivic,Verity Touch,No,Yes,Yes,Yes,No
4823700000,Texas,Jack County,Batch-Fed Optical Scanner,Hart InterCivic,Verity Central,N/A,No,No,No,Yes
